Coarse-Grained Algorithm:

Number of distinct colours used: 71

timetaken in microseconds= 179909μs
timetaken in milliseconds= 179.909milli seconds

Assigned colours:
vertex-591 colour-41
vertex-592 colour-25
vertex-593 colour-17
vertex-594 colour-15
vertex-595 colour-2
vertex-596 colour-12
vertex-597 colour-38
vertex-598 colour-18
vertex-599 colour-39
vertex-600 colour-7
vertex-601 colour-58
vertex-602 colour-18
vertex-603 colour-45
vertex-604 colour-37
vertex-605 colour-37
vertex-606 colour-17
vertex-607 colour-45
vertex-608 colour-25
vertex-609 colour-19
vertex-610 colour-34
vertex-611 colour-4
vertex-612 colour-38
vertex-613 colour-46
vertex-614 colour-24
vertex-615 colour-15
vertex-616 colour-41
vertex-617 colour-20
vertex-618 colour-64
vertex-619 colour-65
vertex-620 colour-63
vertex-621 colour-52
vertex-622 colour-65
vertex-623 colour-34
vertex-624 colour-63
vertex-625 colour-3
vertex-626 colour-50
vertex-627 colour-60
vertex-628 colour-1
vertex-629 colour-19
vertex-630 colour-60
vertex-631 colour-56
vertex-632 colour-53
vertex-633 colour-14
vertex-634 colour-61
vertex-635 colour-39
vertex-636 colour-65
vertex-637 colour-48
vertex-638 colour-20
vertex-639 colour-45
vertex-640 colour-53
vertex-641 colour-66
vertex-642 colour-19
vertex-643 colour-65
vertex-644 colour-52
vertex-645 colour-37
vertex-646 colour-66
vertex-647 colour-61
vertex-648 colour-7
vertex-649 colour-16
vertex-650 colour-48
vertex-651 colour-67
vertex-652 colour-58
vertex-653 colour-33
vertex-654 colour-5
vertex-655 colour-18
vertex-656 colour-18
vertex-657 colour-49
vertex-658 colour-42
vertex-659 colour-66
vertex-660 colour-67
vertex-661 colour-53
vertex-662 colour-1
vertex-663 colour-66
vertex-664 colour-61
vertex-665 colour-3
vertex-666 colour-35
vertex-667 colour-57
vertex-668 colour-60
vertex-669 colour-32
vertex-670 colour-31
vertex-671 colour-4
vertex-672 colour-14
vertex-673 colour-38
vertex-674 colour-57
vertex-675 colour-67
vertex-676 colour-65
vertex-677 colour-63
vertex-678 colour-66
vertex-679 colour-41
vertex-680 colour-18
