fine-grained algorithm:

Number of distinct colours used: 160

timetaken in microseconds= 998432μs
timetaken in milliseconds= 998.432milli seconds

Assigned colours:
vertex-800 colour-131
vertex-801 colour-123
vertex-802 colour-83
vertex-803 colour-130
vertex-804 colour-87
vertex-805 colour-96
vertex-806 colour-88
vertex-807 colour-87
vertex-808 colour-125
vertex-809 colour-128
vertex-810 colour-44
vertex-811 colour-81
vertex-812 colour-91
vertex-813 colour-126
vertex-814 colour-132
vertex-815 colour-39
vertex-816 colour-57
vertex-817 colour-84
vertex-818 colour-95
vertex-819 colour-131
vertex-820 colour-32
vertex-821 colour-73
vertex-822 colour-85
vertex-823 colour-7
vertex-824 colour-69
vertex-825 colour-81
vertex-826 colour-132
vertex-827 colour-114
vertex-828 colour-143
vertex-829 colour-95
vertex-830 colour-145
vertex-831 colour-141
vertex-832 colour-142
vertex-833 colour-98
vertex-834 colour-142
vertex-835 colour-136
vertex-836 colour-124
vertex-837 colour-93
vertex-838 colour-105
vertex-839 colour-144
vertex-840 colour-100
vertex-841 colour-15
vertex-842 colour-102
vertex-843 colour-99
vertex-844 colour-103
vertex-845 colour-140
vertex-846 colour-104
vertex-847 colour-142
vertex-848 colour-131
vertex-849 colour-144
vertex-850 colour-147
vertex-851 colour-36
vertex-852 colour-126
vertex-853 colour-138
vertex-854 colour-89
vertex-855 colour-37
vertex-856 colour-145
vertex-857 colour-40
vertex-858 colour-84
vertex-859 colour-55
vertex-860 colour-109
vertex-861 colour-97
vertex-862 colour-146
vertex-863 colour-107
vertex-864 colour-127
vertex-865 colour-108
vertex-866 colour-112
vertex-867 colour-109
vertex-868 colour-97
vertex-869 colour-108
vertex-870 colour-67
vertex-871 colour-65
vertex-872 colour-112
vertex-873 colour-93
vertex-874 colour-113
vertex-875 colour-147
vertex-876 colour-91
vertex-877 colour-107
vertex-878 colour-152
vertex-879 colour-118
vertex-880 colour-104
vertex-881 colour-66
vertex-882 colour-114
vertex-883 colour-129
vertex-884 colour-46
vertex-885 colour-103
vertex-886 colour-98
vertex-887 colour-107
vertex-888 colour-118
vertex-889 colour-116
vertex-890 colour-119
vertex-891 colour-138
vertex-892 colour-121
vertex-893 colour-112
vertex-894 colour-94
vertex-895 colour-71
vertex-896 colour-122
vertex-897 colour-148
vertex-898 colour-123
vertex-899 colour-16
vertex-900 colour-103
vertex-901 colour-114
vertex-902 colour-149
vertex-903 colour-138
vertex-904 colour-75
vertex-905 colour-126
vertex-906 colour-151
vertex-907 colour-80
vertex-908 colour-108
vertex-909 colour-126
vertex-910 colour-119
vertex-911 colour-100
vertex-912 colour-82
vertex-913 colour-147
vertex-914 colour-146
vertex-915 colour-150
vertex-916 colour-131
vertex-917 colour-125
vertex-918 colour-153
vertex-919 colour-129
vertex-920 colour-111
vertex-921 colour-154
vertex-922 colour-134
vertex-923 colour-135
vertex-924 colour-145
vertex-925 colour-124
vertex-926 colour-135
vertex-927 colour-134
vertex-928 colour-77
vertex-929 colour-129
vertex-930 colour-86
vertex-931 colour-109
vertex-932 colour-138
vertex-933 colour-127
vertex-934 colour-128
vertex-935 colour-41
vertex-936 colour-137
vertex-937 colour-151
vertex-938 colour-50
vertex-939 colour-131
vertex-940 colour-152
vertex-941 colour-117
